Well Name,INPT ID,"EUR (MBBL, MMCF)","EUR/FT (BBL/FT, MCF/FT)",Phase
Well #184,INPT5Mv0nehSr6,963.1128610067843,98.78080625710608,oil
Well #185,INPTeytYTPDuOz,1234.0292125990566,124.00209940422687,oil
Well #186,INPT6WGe4VcnkU,1655.880133618576,131.80065249377373,oil
Well #187,INPTQvthujwjV6,104.13058455541123,24.037531060805918,oil
Well #188,INPT.unTmM5TGti,794.9612493258352,83.30307548211623,oil
Well #189,INPT.tSUJ8D54NW,199.29058810478352,41.40672929665147,oil
Well #190,INPT.XL8xHiTl34,188.19062661033635,39.477790352493464,oil
Well #191,INPT.0fNlksLyHK,438.22284554695096,60.63689574470056,oil
Well #192,INPT.JijSbQRFiU,551.8601898172637,76.80726372,oil
Well #193,INPTXwd9w1sHgt,201.82439067813056,26.73879049789753,oil
Well #194,INPTwQb4rw1aYr,0.023,0.5476190476190477,oil
Well #195,INPTMyqGZXks4r,123.17020261429276,27.53637438280634,oil
Well #196,INPTPn5b6ECnrG,518.2684087,73.35717037067757,oil
Well #197,INPTauOI7ZkBTv,737.4206062815882,104.6729036595583,oil
Well #198,INPT6lcmU870aX,501.5728998989923,72.70226118263405,oil
Well #199,INPT.73tqqt3oKa,138.25218715442992,31.56442629096573,oil
Well #200,INPT.i0QACkVDHL,203.80109749249002,44.59542614715318,oil
Well #201,INPT.BJbcgyCWzQ,475.08257876671456,104.94424094692171,oil
Well #202,INPT.gr5G4jiLmA,395.14296815634646,89.35842789605303,oil
Well #203,INPT.kfLjzlVX7I,431.15964054280056,104.2455610596713,oil
Well #204,INPT.fWMCtSHF8l,356.43308630899423,83.84687986567731,oil
Well #205,INPT0AObcFjGK8,438.2660449,63.26011041,oil
Well #206,INPTK9Ca03Uy6T,447.9861609799334,65.90939547,oil
Well #207,INPTXN6LggC5JA,1240.122193021395,178.87237747315663,oil
Well #208,INPTJOYjnj3CX6,1003.0911970254009,144.93443101075002,oil
Well #209,INPT6Vrbicg3u9,1361.8480961021376,144.3706239904736,oil
Well #210,INPTzIljnbHNiK,487.32470493673674,94.73652895348692,oil
Well #211,INPTTx9qK2imLE,767.8740779,124.87787898267409,oil
Well #212,INPTuVZ7eUifz5,252.84670098415796,53.946383824228285,oil
Well #213,INPT.pMu3hQUZ2x,311.7244854806203,67.47283235511262,oil
Well #214,INPT.Wli3DWGNxH,184.78658530432563,39.99709638621767,oil
Well #215,INPTNsgzWn0AoD,3153.1001831743283,433.1514763737772,oil
Well #216,INPT.f6hJ37r2tJ,282.91760771011246,65.53569787123291,oil
Well #217,INPT.Kg2agUR0WS,332.89942931028537,79.77460563390495,oil
Well #218,INPT.lmi6PY0Y6k,371.36253209975155,86.40356726378583,oil
Well #219,INPT.IGUDzTBFS2,746.9397138788107,75.00900922663294,oil
Well #220,INPTTwTV3PxYeX,133.82367499587448,30.35927291194975,oil
Well #221,INPTQrq54nRHJh,3.6910000000000003,16.931192660550458,oil
Well #222,INPTqgbmVoqbCW,312.17431748285827,42.49003912928519,oil
Well #223,INPT1pTIW5gvPJ,484.4293658772841,68.46090529639402,oil
Well #224,INPTSfgpRQAji6,614.2173136288146,83.57835265053949,oil
Well #225,INPTtgDkoxXcUf,472.04855722779087,64.32932096317674,oil
Well #226,INPTO1D9ynyICZ,302.99076091376776,75.57764053723317,oil
Well #227,INPTWIL3DGAgss,93.223,22.393226038914243,oil
Well #228,INPTQ822WXqFGc,66.50792448580621,15.303249996734058,oil
Well #229,INPT.8Lzgd5K3vM,311.34117909401334,74.12885216524127,oil
Well #230,INPT.fqtItfLyMC,200.42242452275346,47.71962488636987,oil
Well #231,INPTxsk3WcywEZ,329.3908447564343,73.36098992348204,oil
Well #232,INPT.nhvP0k3P22,334.27245686437516,72.35334564163965,oil
Well #233,INPTYC2fHTZrxY,618.9251188996097,62.790414821914354,oil
Well #234,INPTxuqv28P2xl,696.1147652868746,148.26725565215645,oil
Well #235,INPT.dUwFFS71h8,315.7700646739915,69.30861823,oil
Well #236,INPTylqm41bRYf,841.6895189,114.35998898717745,oil
Well #237,INPTUiwXnxdY66,862.7962546926741,114.55075075579846,oil
Well #238,INPTVxTqA4bcUx,789.8282072731379,103.34007683803976,oil
Well #239,INPTRRTC5JuVEs,537.4147016999364,132.27041636720065,oil
Well #240,INPTv8gQrrNacY,230.97276370076622,58.16488635123803,oil
Well #241,INPTmqwkRhOKSJ,67.03721267030589,16.106970848223423,oil
Well #242,INPTfCnWd7g5pR,39.13874301860902,9.938736165213058,oil
Well #243,INPTkc6lC0KN93,87.03029373,21.001518757314987,oil
Well #244,INPTV2LUt5vPOR,208.17263385003056,46.21950129885226,oil
Well #245,INPT.JhRnqYriG3,482.1752126320087,70.93941630601864,oil
Well #246,INPT.CBFScGlOUQ,343.89463014067036,47.51894848,oil
Well #247,INPT.HaHGIi6pav,336.9262188293076,46.07223011476926,oil
Well #248,INPT.1O0wpd6mzw,189.14372915897863,42.485114366347396,oil
Well #249,INPT.fpXc8TwVrb,165.5458588155932,36.43174709850202,oil
Well #250,INPT.E9V1UhktGw,450.2321234387762,64.49392972908984,oil
Well #251,INPTGgDteZJT5v,678.4841338432229,99.51365999460587,oil
Well #252,INPTt9iMZPQwcJ,157.93439049046853,23.31479044736766,oil
Well #253,INPTvUK3UhkiJe,359.49606982723043,50.88408632,oil
Well #254,INPT62XsKEwcpH,449.91987422402417,67.59613494952286,oil
Well #255,INPTsppHq0tPZ2,283.32858680875285,37.933938520384636,oil
Well #256,INPT.2qoaTd6rl2,779.0157233698192,180.41123746406186,oil
Well #257,INPT.HHYyPmaIks,570.2206844220143,125.24065109203038,oil
Well #258,INPT.WJIk0ANzca,432.7881003917999,98.09340444057113,oil
Well #259,INPT.74wMjQoQKs,538.5014224378681,75.92012158999972,oil
Well #260,INPT.5pGjQwzvEo,554.2247928685509,76.66686856668292,oil
Well #261,INPT.g6S3tuZNDl,544.5301609382234,73.70467798297555,oil
Well #262,INPT.zQN4mlSJXv,480.8844600637425,65.77546984868589,oil
Well #263,INPT.INz2KyqD95,432.2042474324466,98.22823805282877,oil
Well #264,INPT.oCpp7feKJa,377.54134103816494,81.68354414499457,oil
Well #265,INPT.nJku3Doom1,383.0184749915144,87.58711982,oil
Well #266,INPTrFoz94b9RC,437.67814333083584,44.192058090754834,oil
Well #267,INPTYBCApEZCIZ,1668.3193556703227,162.6359286089221,oil
Well #268,INPTfYuoFamEu7,874.8596854626657,103.14308953815912,oil
Well #269,INPTRgVL80HiNd,436.68272091790374,44.446078464926586,oil
Well #270,INPTYF9T8pKf2T,688.7602816,150.51579580927338,oil
Well #271,INPTqt2mJkvujy,628.5661573616911,126.44662187923781,oil
Well #272,INPTXVuAbV4OWH,349.1972544042983,48.20503235840672,oil
Well #273,INPT.968s5dkp1I,494.87540576007257,51.92271595426215,oil
Well #274,INPT.rRxFaf4YJd,1024.923829326771,103.76873841518386,oil
Well #275,INPT.UNNcsemzYK,997.7023345742776,100.75765851083393,oil
Well #276,INPT.d0CyOAtEgY,996.3663741598284,105.05761009698739,oil
Well #277,INPTmflVurf1Wl,356.3743869558243,74.52412943450948,oil
Well #278,INPTmrfN7SX9NB,75.00283653503186,19.26112905,oil
Well #279,INPTorCvTQo78Z,1740.1469071208403,251.8302325789928,oil
Well #280,INPTXN3oXp969U,2425.1862718916955,331.0491023309111,oil
Well #281,INPT.Sz8stONGFV,890.5336849259727,183.35056308955583,oil
Well #282,INPT.RK0RSDqMvC,1095.4822566347866,154.61993742198823,oil
Well #283,INPT0dumKlc14Z,730.1856623832991,75.33900767471101,oil
Well #284,INPT6dcECywaGq,154.45529827859704,37.07520362,oil
Well #285,INPT.S4BHegvnz8,342.96562100740704,77.78762100417488,oil
Well #286,INPT.odOcydE2ty,173.29366114731337,38.76815685622223,oil
Well #287,INPT.gbIGC8iSNt,404.9833277120158,89.59808135221589,oil
Well #288,INPT.mumDNA5zNc,715.1924808,165.70724764385636,oil
Well #289,INPTVKayUvDOIj,112.99334600246664,27.24700892270717,oil
Well #290,INPTYky9qcBiuC,223.02033307007963,45.00914895460739,oil
Well #291,INPTCQBa5Jr4Vc,414.13914165217324,37.80021373,oil
